file_id,archive_name,archive_bytes,archive_sha256,zip_entries,metadata_entries,numeric_csv_entries_present_but_not_opened,numeric_csv_entries_opened,mapping_evidence_entry,archive_internal_serial,archive_testpoint_raw,archive_lab_raw,measurement_start_date,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags,candidate_stages,status,error,elapsed_seconds
47628292,TP_k09_01.zip,15842067,2454ed7c42f56b7b73aa5e341ffe0940023c5e3a8ab5d83ca063a1baea885f2a,25,12,12,False,TP_k09_01/TP_k09_01_01_ET_T10_meta.txt,HM007,,HM,,HM007,TP_k09_01,1,HM,k,9,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,4.004
47628304,TP_k08_01.zip,16102627,93024ab2886f5df16965ea1a634a6aa062a096127e27aeeaea126a6e41c2bcec,25,12,12,False,TP_k08_01/TP_k08_01_01_ET_T10_meta.txt,HM004,,HM,,HM004,TP_k08_01,1,HM,k,8,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.763
47628307,TP_k10_01.zip,16076888,0f81214c04a8a9702c33670d7c82759a756f95b263bae3e3ac85658062ef2bbb,25,12,12,False,TP_k10_01/TP_k10_01_01_ET_T10_meta.txt,HM010,,HM,,HM010,TP_k10_01,1,HM,k,10,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,32.562
47628313,TP_k01_06.zip,12361671,d8c3a18b37f1ac6734e8bd2e4cccf8d48aef1f64b196b636622b5d0c27593280,13,6,6,False,TP_k01_06/TP_k01_06_01_ET_T10_meta.txt,123,,SIE,,123,TP_k01_06,2,SIE,k,1,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.389
47628319,TP_k03_04.zip,12379603,4a1c0610a907effa6a19f47c9b02c1bcab2fa6c4c8a2b348a55c6f32ad6031e8,13,6,6,False,TP_k03_04/TP_k03_04_01_ET_T10_meta.txt,189,,SIE,,189,TP_k03_04,2,SIE,k,3,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.496
47628322,TP_k07_03.zip,16674045,ebd0c6bb8f8bed2f7ad182d7827bb32a266c0b177ece91d3080524c3473ad698,25,12,12,False,TP_k07_03/TP_k07_03_01_ET_T10_meta.txt,HM003,,HM,,HM003,TP_k07_03,1,HM,k,7,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.754
47628328,TP_k07_02.zip,16768351,2938a217e93a16eb9cf8c8878a6ea5b05be280a0424409022d23341c1503eae5,25,12,12,False,TP_k07_02/TP_k07_02_01_ET_T10_meta.txt,HM002,,HM,,HM002,TP_k07_02,1,HM,k,7,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.534
47628331,TP_k09_02.zip,16615504,96b814786857c0252d20352695cd40a6496c3c9dc56329462cacd1f660b0f200,25,12,12,False,TP_k09_02/TP_k09_02_01_ET_T10_meta.txt,HM008,,HM,,HM008,TP_k09_02,1,HM,k,9,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.079
47628334,TP_k07_01.zip,16778882,589f5b013387b4ebc0ec83f51d7df1a9acd9ae1b757fc8904c9119d3bb89f522,25,12,12,False,TP_k07_01/TP_k07_01_01_ET_T10_meta.txt,HM001,,HM,,HM001,TP_k07_01,1,HM,k,7,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.042
47628343,TP_k08_02.zip,16817837,d6ebc478e3c292f56a26e688539f1a0f6bc117b0146470a306e35e8e5912c85e,25,12,12,False,TP_k08_02/TP_k08_02_01_ET_T10_meta.txt,HM005,,HM,,HM005,TP_k08_02,1,HM,k,8,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.247
47628346,TP_k08_03.zip,16801222,eaaab94781d15da0c5852d83abed411033708b484208276afd2d27a3d7af1fcf,25,12,12,False,TP_k08_03/TP_k08_03_01_ET_T10_meta.txt,HM006,,HM,,HM006,TP_k08_03,1,HM,k,8,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.559
