source_row_id,material_key,UTS_MPa,YS_MPa,dataset_label,log_ys,log_uts,uts_ys_ratio
1245,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,1190.0,1030.0,borg,3.012837224705172,3.0755469613925306,1.1553398058252426
1246,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,1110.0,970.0,borg,2.9867717342662448,3.0453229787866576,1.1443298969072164
1247,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,960.0,850.0,borg,2.929418925714293,2.9822712330395684,1.1294117647058823
1248,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,640.0,470.0,borg,2.6720978579357175,2.806179973983887,1.3617021276595744
1249,Co:0.1886642885|Cr:0.1886642885|Fe:0.1886642885|Nb:0.037653587|Ni:0.3963535474,537.0,170.0,borg,2.230448921378274,2.7299742856995555,3.1588235294117646
1250,Co:0.1818181818|Cr:0.1818181818|Fe:0.1818181818|Nb:0.07257448434|Ni:0.3819709702,840.0,640.0,borg,2.806179973983887,2.9242792860618816,1.3125
1251,Co:0.1886642885|Cr:0.1886642885|Fe:0.1886642885|Nb:0.037653587|Ni:0.3963535474,860.0,560.0,borg,2.7481880270062002,2.934498451243568,1.5357142857142858
1274,Co:0.1|Cr:0.1|Fe:0.4|Mn:0.4,471.0,213.0,borg,2.3283796034387376,2.673020907128896,2.211267605633803
1275,Co:0.1|Cr:0.1|Fe:0.4|Mn:0.4,634.0,393.0,borg,2.5943925503754266,2.802089257881733,1.61323155216285
1276,Co:0.1|Cr:0.1|Fe:0.4|Mn:0.4,1055.0,792.0,borg,2.8987251815894934,3.0232524596337114,1.332070707070707
1277,Co:0.1|Cr:0.1|Fe:0.4|Mn:0.4,1004.0,559.0,borg,2.747411807886423,3.0017337128090005,1.7960644007155635
1278,Co:0.1|Cr:0.1|Fe:0.4|Mn:0.4,978.0,512.0,borg,2.709269960975831,2.9903388547876015,1.91015625
1279,Co:0.1|Cr:0.1|Fe:0.4|Mn:0.4,947.0,476.0,borg,2.677606952720493,2.9763499790032735,1.9894957983193278
1280,Co:0.2|Cr:0.2|Fe:0.2|Mn:0.2|Ni:0.2,635.0,353.0,borg,2.5477747053878224,2.8027737252919755,1.7988668555240792
1281,C:0.008067689886|Co:0.196772924|Cr:0.196772924|Fe:0.196772924|Mn:0.196772924|Nb:0.008067689886|Ni:0.196772924,911.0,732.0,borg,2.864511081058392,2.9595183769729982,1.244535519125683
13,Co:0.3333333333|Fe:0.3333333333|Ni:0.3333333333,513.0,211.0,borg,2.3242824552976926,2.7101173651118162,2.4312796208530805
1309,Co:0.2|Cr:0.2|Fe:0.2|Mn:0.2|Ni:0.2,1335.35,1199.26,borg,3.078913348506884,3.125595110754266,1.1134783116255023
