composition_key,experimental_prediction,experimental_ensemble_sd,experimental_distance,hse_prediction_calibrated,hse_ensemble_sd,hse_distance,hse_contract_eligible,contract_fusion_prediction,retrieval_routed_prediction,exact_lookup_available,exact_lookup_sources,exact_lookup_dois
Br:0.00259067|C:0.08117444|Cs:0.00518135|H:0.40587219|I:0.25647668|N:0.16234888|Pb:0.08635579,1.6320441388888909,0.032547792316052995,1.2690717961031739,2.650034133762612,0.02077950777982821,2.5718472615407486,False,1.6320441388888907,1.6320441388888907,False,0,0
Br:0.00265487|C:0.07964602|Cs:0.00884956|H:0.40619469|I:0.26283186|N:0.15132743|Pb:0.08849558,1.605731905555557,0.023577461883287548,1.0560138313521343,2.6687302412349765,0.038047957039173526,2.8860871601292564,False,1.605731905555557,1.605731905555557,False,0,0
Br:0.00273973|C:0.07762557|Cs:0.01369863|H:0.39634703|I:0.27123288|N:0.14703196|Pb:0.09132420,1.630475905555557,0.03446825193095474,1.3667151392822872,2.6818773691936104,0.03137898172527058,3.0191832609948692,False,1.630475905555557,1.630475905555557,False,0,0
Br:0.00274931|C:0.08331251|H:0.49987503|I:0.24743814|N:0.08331251|Pb:0.08331251,1.9607923888888898,0.03989645426825659,2.076247767060401,2.5708263521119323,0.02841610212379878,1.6193028063809265,False,1.9607923888888898,1.9607923888888898,False,0,0
Br:0.00283019|C:0.07547170|Cs:0.01886792|H:0.38490566|I:0.28018868|N:0.14339623|Pb:0.09433962,1.6438401000000016,0.02734937472391634,2.1279833476773446,2.692637696537966,0.02371866078620801,3.4419997602169743,False,1.6438401000000014,1.6438401000000014,False,0,0
Br:0.00333333|C:0.08333333|H:0.45250000|I:0.24666667|N:0.13083333|Pb:0.08333333,1.7100502777777795,0.0476472058050236,1.9639875993648412,2.595927896416044,0.03795650928783388,1.602018272554174,False,1.7100502777777795,1.7100502777777795,False,0,0
Br:0.00333333|C:0.08333333|H:0.50000000|I:0.24666667|N:0.08333333|Pb:0.08333333,1.9577882222222232,0.03949957538186081,2.058489918040812,2.5718156076306373,0.02907874522699895,1.6244441803889784,False,1.957788222222223,1.957788222222223,False,0,0
Br:0.00337268|C:0.08263069|Cs:0.00168634|H:0.46458685|I:0.24957841|N:0.11382799|Pb:0.08431703,1.7418758333333346,0.049406374726925814,2.0080311655904115,2.5835505116562523,0.029857037552396572,2.3402120450644244,False,1.7418758333333346,1.7418758333333346,False,0,0
Br:0.00343348|C:0.08154506|Cs:0.00429185|H:0.44635193|I:0.25407725|N:0.12446352|Pb:0.08583691,1.666399944444446,0.03227225934395662,1.555391848612531,2.6208391091906607,0.039178143023637146,2.4235724755355723,False,1.6663999444444462,1.6663999444444462,False,0,0
Br:0.00355030|C:0.01459566|H:0.46193294|I:0.30848126|N:0.10966469|Pb:0.10177515,1.974979766666668,0.03218033155631458,2.380877535439026,2.7064556299970293,0.023132813265949778,2.771374420947914,False,1.9749797666666682,1.9749797666666682,False,0,0
Br:0.00356718|C:0.09512485|H:0.52318668|I:0.17598098|N:0.14268728|Pb:0.05945303,2.0068691944444446,0.035073558958770394,0.9704553437520812,2.7438220593887044,0.012239554515050993,1.8365884698050814,False,2.0068691944444446,2.0068691944444446,False,0,0
Br:0.00361350|C:0.12134133|Cs:0.00036135|H:0.72233866|I:0.01806750|N:0.12705066|Pb:0.00722700,2.20113443042328,0.041550776772416705,9.194082128582775,3.5654686743008717,0.03400532273791149,7.463055229513591,False,2.20113443042328,2.20113443042328,False,0,0
Br:0.00367647|C:0.09436275|H:0.50857843|I:0.18014706|N:0.15196078|Pb:0.06127451,2.027162833333334,0.013956560374065698,1.317164428618635,2.73492137286341,0.016008664411967667,1.5711588562276464,False,2.027162833333334,2.027162833333334,False,0,0
Br:0.00375000|C:0.08333333|H:0.50000000|I:0.24625000|N:0.08333333|Pb:0.08333333,1.9540352222222233,0.040508992537990375,2.0500579403899684,2.5710821986949455,0.029698996779539702,1.6268091376907055,False,1.9540352222222233,1.9540352222222233,False,0,0
Br:0.00375704|C:0.09329994|Cs:0.00313087|H:0.50407013|I:0.18409518|N:0.14902943|Pb:0.06261741,1.976958638888889,0.027508722214986635,2.030184328685178,2.7241052468263613,0.01866477898977648,2.2402226208500693,False,1.976958638888889,1.976958638888889,False,0,0
Br:0.00391825|C:0.12108175|Cs:0.00061463|H:0.72065151|I:0.01913030|N:0.12692071|Pb:0.00768285,2.1677499074074067,0.03978835619366801,8.893834841833975,3.531514500327588,0.026811526709010314,7.221669368235549,False,2.1677499074074067,2.1677499074074067,False,0,0
Br:0.00403769|C:0.01659937|H:0.46433378|I:0.30506954|N:0.10946613|Pb:0.10049349,1.9703326000000012,0.03669327481920652,2.3575373967665647,2.6879379993039,0.030032427355925026,2.961424677541791,False,1.9703326000000012,1.9703326000000012,False,0,0
Br:0.00416667|C:0.08333333|Cu:0.00416667|H:0.50000000|I:0.24583333|N:0.08333333|Pb:0.07916667,1.9291721111111126,0.05069581366096187,2.0238022814836296,2.5726155826796067,0.020700717930832547,2.4211089307844804,False,1.9291721111111126,1.9291721111111126,False,0,0
