repetition,comparator,relative_log_rmse_gain,spearman_gain,raw_r2_gain
27,state_only,0.30548963946012797,0.18261322105605693,0.246862875666799
27,chemistry_permuted,0.28735684974888,0.14617168296030258,0.18320476956167786
27,without_LiPF6,0.1487018890841485,0.0411114943525136,0.24883341125280622
27,LiPF6_only,0.31411830999189394,0.04735766869845526,-0.04826926289481748
27,LiBOB_wrong_salt_control,0.2869449603928531,0.11686650468016024,0.34952140186614156
27,LiBF4_fluorinated_control,0.43048588895976436,0.14045718738916257,0.7459767098894639
28,state_only,0.2492479835546415,0.14509709364746726,0.23789871302230992
28,chemistry_permuted,0.22861904352689322,0.11350700524779778,0.16727445395718676
28,without_LiPF6,0.10813267296431173,0.030666567180449023,0.23448704948026
28,LiPF6_only,0.2829234806597005,0.03300031461148745,-0.02160981738584189
28,LiBOB_wrong_salt_control,0.2963865941233922,0.0881984843195317,0.4869978807374301
28,LiBF4_fluorinated_control,0.3951639429301519,0.12298826793179751,0.7501090295642883
29,state_only,0.27957686468218457,0.15232848050385261,0.20909731113050234
29,chemistry_permuted,0.25742333318411714,0.11556860895174803,0.15312918729208502
29,without_LiPF6,0.15172078792496513,0.04218888952026356,0.2612293269496484
29,LiPF6_only,0.27398343778726375,0.0298208196609987,-0.0566704239531044
29,LiBOB_wrong_salt_control,0.29796489964544237,0.10950935046641574,0.33927347709074784
29,LiBF4_fluorinated_control,0.4018093163492985,0.11261412543647187,0.7561649080890243
30,state_only,0.274045431984171,0.15947076358149936,0.21920722028924955
30,chemistry_permuted,0.2537735854735397,0.1320513484331265,0.1732480704567102
30,without_LiPF6,0.14077823513065657,0.026813981535409037,0.2335020368297338
30,LiPF6_only,0.2504572076697944,0.045289550654958544,-0.05045526283933266
30,LiBOB_wrong_salt_control,0.31855316391180644,0.1124543869284168,0.35609141370181474
30,LiBF4_fluorinated_control,0.37697175912343606,0.1193291982078476,0.6653508796092993
31,state_only,0.20100153497743256,0.1374499181997002,0.17274687736197913
31,chemistry_permuted,0.18894953258266656,0.1111674677227441,0.13379529308199045
31,without_LiPF6,0.1733869038462572,0.06154077969157268,0.2911231303040529
31,LiPF6_only,0.22494386560566326,0.04196078285294458,-0.044518213596882905
31,LiBOB_wrong_salt_control,0.2888817563676632,0.12992582191315227,0.3476669623869395
31,LiBF4_fluorinated_control,0.3574036497757087,0.10979532114355284,0.7426236127647086
32,state_only,0.2823288429947306,0.17343786576295772,0.22450770288716548
32,chemistry_permuted,0.26667909277878754,0.1398281405475068,0.18592752472292506
32,without_LiPF6,0.14779852674009564,0.041109166287828236,0.2510985980728445
32,LiPF6_only,0.31603939630505395,0.0464228460706817,-0.05459402909573163
32,LiBOB_wrong_salt_control,0.2577455537326282,0.10330015781337776,0.17895176944794033
32,LiBF4_fluorinated_control,0.43574584779246006,0.12549211384741876,0.7707648770054152
33,state_only,0.2819453885482268,0.14120869040680228,0.2209412752058475
33,chemistry_permuted,0.2639432109766049,0.1097561252694611,0.16929750938032684
33,without_LiPF6,0.18949475000179816,0.053131582704772584,0.26497961922783364
33,LiPF6_only,0.30535097292046576,0.04076182708033471,-0.01858372746769743
33,LiBOB_wrong_salt_control,0.3466803707130691,0.13652746588055797,0.38606788485274735
33,LiBF4_fluorinated_control,0.4357323691876034,0.10783136212110322,0.7724023606150281
34,state_only,0.26579770418608506,0.15341220210870343,0.20021101715139822
34,chemistry_permuted,0.24917866047141335,0.1257073310022545,0.1506393180946506
34,without_LiPF6,0.16665468583419063,0.030986086847172634,0.2795569818323056
34,LiPF6_only,0.2734671576647796,0.04969545605874992,-0.05762793229808183
34,LiBOB_wrong_salt_control,0.3101852912320714,0.09615170204347578,0.26446889523175277
34,LiBF4_fluorinated_control,0.3904084112959999,0.12996494874625053,0.7224858075673046
35,state_only,0.28706746446415476,0.17696562775065805,0.24240319998914028
35,chemistry_permuted,0.26363323658537674,0.1354904883789365,0.1541125948719998
