repeat,anchor_budget,macro_rmse_neighbor_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
87,1,0.4900683390160401,0.5072713472437502,0.03391283249326493
87,2,0.4211898750180367,0.4451374384511136,0.053798133709903384
87,3,0.42928253414602646,0.463741427640295,0.07430626517369698
88,1,0.4241327262704504,0.45001616435982666,0.057516685264399126
88,2,0.4290161639120294,0.4549345764369306,0.0569717358656171
88,3,0.41963521265344517,0.45051145094419165,0.06853596778957649
89,1,0.4980553577025736,0.5203448798027482,0.04283605540353186
89,2,0.4450112245205556,0.46402728231596213,0.04098047360598567
89,3,0.41719492768189764,0.4471677501763049,0.06702813984816625
90,1,0.4470367529648113,0.48043778573775014,0.06952207708152869
90,2,0.39619779061039967,0.4216413091507906,0.06034398904518068
90,3,0.3901936234981002,0.4284459555761384,0.08928158051252844
91,1,0.5725022830121396,0.608320979130145,0.058881244189907145
91,2,0.5192957291281483,0.5648944004195287,0.08072069975824814
91,3,0.44174709967967496,0.48388903364363345,0.08709007857986395
92,1,0.7037639254719044,0.7647223305687804,0.07971312286844923
92,2,0.42280127464821166,0.4619279630322792,0.08470300894369842
92,3,0.39847956675270346,0.41768663018188773,0.04598438647849534
93,1,0.44987879309990064,0.48259203651001353,0.0677865379766458
93,2,0.46735434088291955,0.5113837511280496,0.08609857107897256
93,3,0.41141927302838704,0.4397620453071001,0.06445024663035759
94,1,0.4394993815341224,0.47279407459865297,0.07042113015649343
94,2,0.450555244055489,0.49470859478392804,0.08925123030806392
94,3,0.4088482902717485,0.4444778273903237,0.08016043753581137
95,1,0.4562311106343989,0.4971246889016298,0.08226020388885336
95,2,0.4541256453127609,0.4941542520409501,0.08100427460223913
95,3,0.4267114708465431,0.4321832298863279,0.012660738921368986
96,1,0.5285907782099307,0.5432816467282963,0.027040980689915894
96,2,0.44300998488672877,0.4593997614417474,0.035676502102617746
96,3,0.4229128673360955,0.44778087755034507,0.05553611478519105
97,1,0.4061046951491268,0.44005832756072377,0.07715711823885829
97,2,0.40690006868300893,0.45872189227557497,0.11297002490004193
97,3,0.36997024998257416,0.37230416117605253,0.006268829190911762
98,1,0.4375153372307796,0.4712991191184386,0.07168225128629835
98,2,0.40724762411676546,0.43105125253793414,0.055222269465679985
98,3,0.4734505274415017,0.5072112405156678,0.06656144497082228
99,1,0.476781576526929,0.5011246450446623,0.048576873555208455
99,2,0.40937689669104144,0.4542252938687399,0.09873601885028127
99,3,0.4217497967714776,0.44032425943927456,0.04218360053895365
