scope,seed,policy,auc20,first_hit,recall20,recall40,regret20
hard_ood_40pct,32,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,32,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,33,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,33,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,34,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,34,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,35,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,35,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,36,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,36,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,37,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,37,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,38,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,38,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,39,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,39,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,40,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,40,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,41,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,41,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,42,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,42,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,43,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,43,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,44,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,44,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,45,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,45,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,46,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,46,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,47,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,47,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,48,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,48,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,49,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,49,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,50,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,50,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,51,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,51,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,52,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,52,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,53,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,53,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,54,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,54,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,55,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,55,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,56,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,56,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,57,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,57,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,58,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,58,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,59,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,59,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,60,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,60,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,61,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,61,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,62,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,62,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,63,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,63,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,64,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,64,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,65,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,65,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,66,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,66,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,67,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,67,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,68,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,68,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,69,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,69,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,70,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,70,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,71,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,71,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
