budget,repeat,method,scope,evaluation_rows,rmse,mae,r2,spearman,selected_alpha,selected_correction_weight,mean_absolute_correction,active_training_rows,inner_hurdle_fallback_folds,training_scaffolds,insufficient_scaffold_abstention,target_only_rmse,relative_rmse_gain
30,7,target_only_direct_regression,dynamic_hard_ood_40pct,217,0.5717342395185532,0.38731193608287884,-0.3791813021097932,0.15234348028029504,,,,17,0,23,False,0.5503755293441576,-0.038807521475104884
30,7,scalar_optical_residual,full_scaffold_separated_evaluation,542,0.5956497631283956,0.40961404552808334,0.019498931013284593,0.3782097518941455,0.1,0.1,0.031136160095096586,17,0,23,False,0.5908273978219608,-0.008162054305897181
30,7,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,542,0.6606331693079563,0.4447333810164508,-0.20610987956136184,0.36751372253555936,1000.0,0.1,0.05114193722001271,17,0,23,False,0.5908273978219608,-0.1181491781581712
30,7,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,542,1.0272890561188548,0.650838190282364,-1.916429266288005,0.3475536555417278,100.0,1.0,0.3377734117089439,17,0,23,False,0.5908273978219608,-0.7387295509752525
30,7,state_blind_pretrained_residual,full_scaffold_separated_evaluation,542,0.6221282541399045,0.4484936417535539,-0.06961128288731677,0.3978539981121088,100.0,0.25,0.07408659337424256,17,0,23,False,0.5908273978219608,-0.05297800412325466
30,7,target_only_direct_regression,full_scaffold_separated_evaluation,542,0.5991854645020426,0.407337701164697,0.00782412372787844,0.38307284760474014,,,,17,0,23,False,0.5908273978219608,-0.01414637626977545
30,8,scalar_optical_residual,dynamic_hard_ood_40pct,158,0.6301331855560477,0.2164242901907155,-0.06429841678686121,0.1749377627017759,0.1,0.0,0.0,9,1,4,False,0.6301331855560477,0.0
30,8,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,158,0.6344475628501627,0.2280799422997606,-0.07892232321774473,-0.005982577461035589,0.1,0.25,0.02220782833303449,9,1,4,False,0.6301331855560477,-0.006846770481240183
30,8,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,158,0.6301331855560477,0.2164242901907155,-0.06429841678686121,0.1749377627017759,0.1,0.0,0.0,9,1,4,False,0.6301331855560477,0.0
30,8,state_blind_pretrained_residual,dynamic_hard_ood_40pct,158,0.6301331855560477,0.2164242901907155,-0.06429841678686121,0.1749377627017759,0.1,0.0,0.0,9,1,4,False,0.6301331855560477,0.0
30,8,target_only_direct_regression,dynamic_hard_ood_40pct,158,0.6359784972664319,0.21078532754313725,-0.08413552688578241,0.10459450953391482,,,,9,1,4,False,0.6301331855560477,-0.009276311491555691
30,8,scalar_optical_residual,full_scaffold_separated_evaluation,394,0.6742372959836503,0.2904159277709014,-0.06860555295471182,0.4284402109124293,0.1,0.0,0.0,9,1,4,False,0.6742372959836503,0.0
30,8,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,394,0.6728931722360677,0.2959683470553375,-0.0643491690219109,0.3485188297677688,0.1,0.25,0.02220782833303449,9,1,4,False,0.6742372959836503,0.0019935470131798097
30,8,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,394,0.6742372959836503,0.2904159277709014,-0.06860555295471182,0.4284402109124293,0.1,0.0,0.0,9,1,4,False,0.6742372959836503,0.0
30,8,state_blind_pretrained_residual,full_scaffold_separated_evaluation,394,0.6742372959836503,0.2904159277709014,-0.06860555295471182,0.4284402109124293,0.1,0.0,0.0,9,1,4,False,0.6742372959836503,0.0
30,8,target_only_direct_regression,full_scaffold_separated_evaluation,394,0.6794608303661116,0.2870330374475237,-0.0852273573682023,0.39229242102561745,,,,9,1,4,False,0.6742372959836503,-0.007747323403165649
30,9,scalar_optical_residual,dynamic_hard_ood_40pct,214,0.6404406542530805,0.3137620992990396,0.07287977003342339,0.24448676824473464,1.0,0.1,0.0259540358530282,13,0,20,False,0.6411328830250432,0.0010796962537572632
30,9,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,214,0.6411328830250432,0.3044309810397597,0.07087450652674576,0.2852675810304037,0.1,0.0,0.0,13,0,20,False,0.6411328830250432,0.0
30,9,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,214,0.6411328830250432,0.3044309810397597,0.07087450652674576,0.2852675810304037,0.1,0.0,0.0,13,0,20,False,0.6411328830250432,0.0
