repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
30,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.683332968303736,3.756969421218769,-0.019991799152750622,0.1460709818362408,2.7520150469298446,0.37433760000697325,44
31,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.430543039344275,4.422307200829545,0.0018588778941076615,-0.1831621491951514,3.4387002462746064,-0.07516778523489932,44
32,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.313858422367336,4.303350802098788,0.002435782364591791,-0.1203660818618626,3.252763115753224,0.24473647086657396,44
33,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.6870537258810767,3.734305645570532,-0.012815630908162007,0.156342495725854,2.9510504607980192,0.3717665113861143,44
34,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.535594010221931,4.509014709648306,0.0058601586724304055,-0.2300131533001346,3.0047630720130027,0.0380475189774827,44
35,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.354451237062353,4.3266456762548655,0.006385548785303635,-0.13252843022329452,3.324901533171903,0.1735198534781483,44
36,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.038866623093569,3.9408486788347146,0.02426867569689089,0.06043686214074173,3.0906578891389898,0.47104099097725793,44
37,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.085700140974719,3.8460634197855503,0.05865254740207122,0.1050900557356057,3.071350203843067,0.3389101685312798,44
38,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.9802041993404833,3.9050743746943533,0.01887587191093839,0.07741780071305893,3.0804525621203385,0.37449214504089406,44
39,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.618868578301546,4.60794652868269,0.0023646591007516217,-0.2845804644674639,3.596235880714993,0.07522674836499842,44
40,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.249992135422899,4.2177577374642965,0.007584578260730198,-0.07624144693872026,2.8691950760680576,0.2883169459512286,44
41,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.436642263267346,4.193867447790165,0.05472039462978705,-0.06408384891697838,3.225895192715191,0.14814816375353357,44
42,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.589473307730915,4.443906115781093,0.03171762470099036,-0.19474769668684777,3.6557587856590383,0.2346298575876264,44
43,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.783215539888007,4.783397316379542,-3.800298983366935e-05,-0.3842653961237006,4.104468913028776,-0.29655538353521366,44
44,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.12634620361514,4.163254376235123,-0.008944516722239133,-0.048606018246583726,3.2852191932548944,0.13571052211859388,44
45,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.595471321504366,4.354496278697134,0.05243750334804547,-0.14715551920239123,3.7842629973257242,0.38466972801130334,44
46,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.0943880430145505,4.079994271251577,0.003515487934156825,-0.0070836796494420096,2.7965484124811244,0.27709269624861604,44
47,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.688470548960712,4.670055252331506,0.003927783364937167,-0.3194425615106984,3.8555716173265293,0.09006431000750151,44
48,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.70452216894732,4.753901881737329,-0.010496222786650926,-0.3672466852987373,3.21506274957093,-0.03313433892349522,44
49,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.9885515657251083,3.9633407577848163,0.006320792780250466,0.04968129313440406,3.1447192609462604,0.12653666839550634,44
50,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.4465829927052707,3.608057624687592,-0.04685064376052572,0.21242235277747756,2.8347776044671757,0.46019074531967497,44
51,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.70787168177033,4.661980821871991,0.00974768706548148,-0.31488392715753455,3.285212293102625,0.003815984888509283,44
52,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.480879630355575,3.4504878022126984,0.008731077017958309,0.27970990211032765,2.5786622061158226,0.5102444551381055,44
53,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.5877535493243915,4.495196753411714,0.02017475326814524,-0.22248591006321283,3.3003747158210515,0.05970043818771796,44
54,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.327598876509694,4.304077502225963,0.00543520204966439,-0.12074450275081161,2.9091435234811147,0.24961141789018645,44
