anchor_budget,draw,model,comparator,relative_log_rmse_gain,spearman_gain,top_quartile_precision_gain,normalized_regret_reduction
3,18,bamboo_all_adapted,target_only_ridge,0.2997121506156981,0.5715718245074929,0.7777777777777777,0.2895043306298306
3,18,programme_balanced_portfolio_frozen,target_only_ridge,0.16587719951330349,0.572574582094348,0.8888888888888888,0.2895043306298306
3,18,programme_balanced_portfolio_adapted,target_only_ridge,0.1781583890180709,0.5667251628376926,0.7777777777777777,0.2895043306298306
3,18,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.547738033834388,0.8888888888888888,0.2702334405638492
3,19,bamboo_all_frozen,target_only_ridge,0.4347422142873739,0.5229380815450131,0.4444444444444445,0.2895043306298306
3,19,bamboo_all_adapted,target_only_ridge,0.43429210053186995,0.5286203745371929,0.4444444444444445,0.2895043306298306
3,19,programme_balanced_portfolio_frozen,target_only_ridge,0.3299629910486185,0.5465028848361115,0.5555555555555556,0.2895043306298306
3,19,programme_balanced_portfolio_adapted,target_only_ridge,0.3437128897169339,0.5413219706373593,0.4444444444444445,0.2702334405638492
3,19,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5249241393953574,0.5555555555555556,0.2702334405638492
3,20,bamboo_all_frozen,target_only_ridge,0.28539366922469733,0.5307930159753794,0.6666666666666666,0.029333606020312285
3,20,bamboo_all_adapted,target_only_ridge,0.2853850559235023,0.5374780665544142,0.6666666666666666,0.029333606020312285
3,20,programme_balanced_portfolio_frozen,target_only_ridge,0.1413789811822076,0.5541906930020017,0.7777777777777778,0.029333606020312285
3,20,programme_balanced_portfolio_adapted,target_only_ridge,0.15112931587521106,0.547338516158491,0.7777777777777778,0.029333606020312285
3,20,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5290971003417185,0.7777777777777778,0.010062715954330882
3,21,bamboo_all_frozen,target_only_ridge,0.21249460500077255,0.5092337278579913,0.4444444444444445,0.1517419489540139
3,21,bamboo_all_adapted,target_only_ridge,0.21134812751876686,0.5149160208501711,0.4444444444444445,0.1517419489540139
3,21,programme_balanced_portfolio_frozen,target_only_ridge,0.054420359498678295,0.5369766877609867,0.5555555555555556,0.1517419489540139
3,21,programme_balanced_portfolio_adapted,target_only_ridge,0.07103927681704203,0.5306258897109033,0.5555555555555556,0.1324710588880325
3,21,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.512881242693147,0.5555555555555556,0.1324710588880325
3,22,bamboo_all_frozen,target_only_ridge,0.41240459964112397,0.6350798050083252,0.5555555555555556,0.10720331591695453
3,22,bamboo_all_adapted,target_only_ridge,0.4085483808884314,0.6541321991585751,0.5555555555555556,0.10720331591695453
3,22,programme_balanced_portfolio_frozen,target_only_ridge,0.2961211128820004,0.651458178926961,0.6666666666666667,0.10720331591695453
3,22,programme_balanced_portfolio_adapted,target_only_ridge,0.3069277442861852,0.6507896738690575,0.6666666666666667,0.10720331591695453
3,22,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6283678383522225,0.6666666666666667,0.08793242585097313
3,23,bamboo_all_frozen,target_only_ridge,0.5899099360197093,1.2594635290901948,0.8888888888888888,0.11023842194502584
3,23,bamboo_all_adapted,target_only_ridge,0.5866214400852534,1.245759175403173,0.8888888888888888,0.11023842194502584
3,23,programme_balanced_portfolio_frozen,target_only_ridge,0.5205078247148247,1.2761761555377822,1.0,0.11023842194502584
3,23,programme_balanced_portfolio_adapted,target_only_ridge,0.5220049825936043,1.2601320341480982,0.7777777777777778,0.09096753187904444
3,23,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.2473993310668532,1.0,0.09096753187904444
3,24,bamboo_all_frozen,target_only_ridge,0.4347422142873739,0.5229380815450131,0.4444444444444445,0.2895043306298306
3,24,bamboo_all_adapted,target_only_ridge,0.43429210053186995,0.5286203745371929,0.4444444444444445,0.2895043306298306
3,24,programme_balanced_portfolio_frozen,target_only_ridge,0.3299629910486185,0.5465028848361115,0.5555555555555556,0.2895043306298306
3,24,programme_balanced_portfolio_adapted,target_only_ridge,0.3437128897169339,0.5413219706373593,0.4444444444444445,0.2702334405638492
3,24,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5249241393953574,0.5555555555555556,0.2702334405638492
3,25,bamboo_all_frozen,target_only_ridge,0.3577670024355537,0.5274504906858617,0.33333333333333337,0.10653521274391603
3,25,bamboo_all_adapted,target_only_ridge,0.35976066210574575,0.5331327836780415,0.33333333333333337,0.10653521274391603
3,25,programme_balanced_portfolio_frozen,target_only_ridge,0.21759479150205396,0.545834379778208,0.4444444444444444,0.10653521274391603
3,25,programme_balanced_portfolio_adapted,target_only_ridge,0.22482453161094862,0.5411548443728836,0.4444444444444444,0.10653521274391603
3,25,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5250091970959552,0.4444444444444444,0.08726432267793463
3,26,bamboo_all_frozen,target_only_ridge,0.38651531123863825,1.1381298610807093,0.8888888888888888,0.11023842194502584
