edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,edge_role
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,24,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.14900612403626923,-0.04761904761904763,-0.09523809523809526,0.0,0.0,0.0,-0.08250027248124914,-0.04761904761904763,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,25,year1_to_year2,21,0.23809523809523808,0.23809523809523808,5.0,5.0,0.0,0.0,0.0,0.0,0.056692341279244385,0.056692341279244385,0.648051948051948,0.6233766233766234,0.0,0.0,0.0,0.0,-0.024675324675324628,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,25,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.06650585155502009,0.11904761904761905,0.04761904761904763,0.0,0.0,0.0,0.0,-0.07142857142857142,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,26,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0237927537807896,0.0237927537807896,0.838961038961039,0.8168831168831169,0.0,0.0,0.0,0.0,-0.02207792207792214,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,26,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.020080171307968797,0.020080171307968797,0.2142857142857143,0.2142857142857143,0.0,0.0,0.0,0.0,0.0,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,27,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.9103896103896105,0.896103896103896,0.0,0.0,0.0,0.0,-0.014285714285714568,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,27,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,-0.023809523809523815,-0.09523809523809526,0.0,0.0,0.0,0.0,-0.07142857142857145,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,28,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.8623376623376624,0.8259740259740259,0.0,0.0,0.0,0.0,-0.03636363636363649,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,28,years1_2_to_year3,8,0.25,0.375,2.0,3.0,0.0,0.0,0.0,0.0,0.16382916328419084,0.16382916328419084,0.4047619047619048,0.4523809523809524,-0.125,0.0,0.0,0.0,0.04761904761904756,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,29,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.8012987012987013,0.8025974025974025,0.0,0.0,0.0,0.0,0.0012987012987012436,named-edge
