repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
1,30,30,extra-trees-primary,ood_q4,alloy_control,3.6304493274404215,3.533002595452416,0.026841507262327886,-0.3502288221086838,2.8683238646847475,0.19541984732824427,27
0,30,30,extra-trees-primary,all,catalysis_control,3.8432708947217207,3.8505664629571923,-0.0018982706229454757,-0.2623524131900081,2.579173762589606,0.38001528871783447,110
1,30,30,extra-trees-primary,all,catalysis_control,3.048978632089888,3.045556674652774,0.0011223290977176806,0.21029527220483346,2.1047607125772716,0.5277584979886587,110
0,30,30,extra-trees-primary,hard_ood_fixed,catalysis_control,4.3072815901038926,4.312587276808095,-0.0012317947162759687,-0.12518062703599253,3.31298109778821,0.21061184170128663,44
1,30,30,extra-trees-primary,hard_ood_fixed,catalysis_control,4.066406117948012,4.0726179658925,-0.001527601465350684,-0.003445516882669697,3.249134929159723,0.24465473218913356,44
0,30,30,extra-trees-primary,ood_q1,catalysis_control,0.9109561622574779,0.8696794000009965,0.04531146938420365,-0.08585668114700873,0.6524703967769536,-0.05988767060302042,28
1,30,30,extra-trees-primary,ood_q1,catalysis_control,0.9446469564934781,0.9479317056128087,-0.0034772240536544937,-0.2865612139606877,0.6040895805581671,-0.057205419996500056,28
0,30,30,extra-trees-primary,ood_q2,catalysis_control,3.8245820405322326,3.712922981215518,0.02919510109428219,-0.7622336944879744,2.4441282358310468,-0.03816794071058524,27
1,30,30,extra-trees-primary,ood_q2,catalysis_control,2.7864365180331343,2.6081134874159337,0.06399680361032366,-0.10819692169769213,1.645664178188539,0.4163614163614164,27
0,30,30,extra-trees-primary,ood_q3,catalysis_control,5.5440185279603025,5.605384920662514,-0.011068937160422686,-0.5440838756864674,4.394157737268819,0.1687813404345077,28
1,30,30,extra-trees-primary,ood_q3,catalysis_control,3.9284002795400044,4.11188720006956,-0.04670779642420791,0.19183054913843156,3.27044323965696,0.4464361996215455,28
0,30,30,extra-trees-primary,ood_q4,catalysis_control,3.57973911026053,3.6402645528078286,-0.016907780339024073,-0.46480241460725824,2.8300764357087678,0.13498244164079654,27
1,30,30,extra-trees-primary,ood_q4,catalysis_control,3.6304493274404215,3.5384734374369695,0.025334574788927793,-0.35441370882436396,2.9112528372735453,0.3187786259541984,27
0,30,30,extra-trees-primary,all,shuffled_thermoelectric,3.8432708947217207,3.815023558221933,0.007349816672715391,-0.2391555173512061,2.6628064004861365,0.38738507847436565,110
1,30,30,extra-trees-primary,all,shuffled_thermoelectric,3.048978632089888,2.9998993746792952,0.01609695026854022,0.23379542359215866,2.099760584428039,0.5223721865240297,110
0,30,30,extra-trees-primary,hard_ood_fixed,shuffled_thermoelectric,4.3072815901038926,4.254901532973089,0.012160815594491954,-0.09528081250685028,3.3693266609678174,0.20929344179363762,44
1,30,30,extra-trees-primary,hard_ood_fixed,shuffled_thermoelectric,4.066406117948012,3.987063434213897,0.019511746105220055,0.038270933178246924,3.2225118749893364,0.2693340916013878,44
0,30,30,extra-trees-primary,ood_q1,shuffled_thermoelectric,0.9109561622574779,1.0308765425515014,-0.13164231744900204,-0.5256940638496328,0.852959092172434,-0.26173853770226246,28
1,30,30,extra-trees-primary,ood_q1,shuffled_thermoelectric,0.9446469564934781,0.9480117649656556,-0.00356197460760125,-0.2867785410258341,0.6157583532398766,-0.08813466621470344,28
0,30,30,extra-trees-primary,ood_q2,shuffled_thermoelectric,3.8245820405322326,3.5645760968409936,0.06798283863066415,-0.6242295248278358,2.426589160884438,0.04029304029304029,27
1,30,30,extra-trees-primary,ood_q2,shuffled_thermoelectric,2.7864365180331343,2.858791775385242,-0.025966949860096247,-0.3314627395449419,1.8573202321656548,0.3363858363858364,27
0,30,30,extra-trees-primary,ood_q3,shuffled_thermoelectric,5.5440185279603025,5.495946622685804,0.008670949606689779,-0.48437974086341784,4.462216934942768,0.13973966538463162,28
1,30,30,extra-trees-primary,ood_q3,shuffled_thermoelectric,3.9284002795400044,3.8839955842386713,0.01130350578901105,0.278929878674794,3.078913626694039,0.5008312195816766,28
0,30,30,extra-trees-primary,ood_q4,shuffled_thermoelectric,3.57973911026053,3.7634167292751544,-0.051310336691339616,-0.5655890529649168,2.909846961124796,-0.010685391667768928,27
1,30,30,extra-trees-primary,ood_q4,shuffled_thermoelectric,3.6304493274404215,3.4518637105605454,0.04919105068622027,-0.28892231206913843,2.865748243720815,0.2919083969465649,27
0,30,30,extra-trees-primary,all,thermoelectric_neighbor,3.8432708947217207,3.75495566597656,0.0229791839202517,-0.20044148155485053,2.499888982314274,0.3917077437501549,110
1,30,30,extra-trees-primary,all,thermoelectric_neighbor,3.048978632089888,2.927807341025785,0.03974160060972532,0.27017899703601833,1.9560797865646762,0.5339309669600792,110
0,30,30,extra-trees-primary,hard_ood_fixed,thermoelectric_neighbor,4.3072815901038926,4.136690734839631,0.039605224709756484,-0.03526744799462289,3.104286824779337,0.26145276549475577,44
1,30,30,extra-trees-primary,hard_ood_fixed,thermoelectric_neighbor,4.066406117948012,3.8675864920860534,0.048893204489444064,0.09504596470029458,2.962050984175329,0.31506525223906046,44
0,30,30,extra-trees-primary,ood_q1,thermoelectric_neighbor,0.9109561622574779,0.9078759568237885,0.0033812883224327516,-0.18333353238607475,0.681221017548674,-0.13025615984260325,28
1,30,30,extra-trees-primary,ood_q1,thermoelectric_neighbor,0.9446469564934781,0.9321602367714531,0.013218398298106605,-0.2441063370431722,0.5914231407859297,-0.08951546673966604,28
0,30,30,extra-trees-primary,ood_q2,thermoelectric_neighbor,3.8245820405322326,3.6486125486151293,0.04601012347289463,-0.701716126993936,2.4335497297394477,0.045177045177045176,27
1,30,30,extra-trees-primary,ood_q2,thermoelectric_neighbor,2.7864365180331343,2.781200026415999,0.001879278994244503,-0.26016791847743215,1.7638465256427012,0.3852258852258852,27
0,30,30,extra-trees-primary,ood_q3,thermoelectric_neighbor,5.5440185279603025,5.498430677180465,0.008222889326563863,-0.48572186214208446,4.3882998605292025,0.17997006308928148,28
1,30,30,extra-trees-primary,ood_q3,thermoelectric_neighbor,3.9284002795400044,3.813941206484656,0.029136306106960948,0.30470671808360184,2.8056105751433456,0.5244960028500569,28
0,30,30,extra-trees-primary,ood_q4,thermoelectric_neighbor,3.57973911026053,3.453053602780099,0.035389592251936795,-0.3180133035234318,2.4939022505712796,0.1144863392975242,27
1,30,30,extra-trees-primary,ood_q4,thermoelectric_neighbor,3.6304493274404215,3.346956536205451,0.07808752186463967,-0.21176835413261608,2.682517640138582,0.26363222563072863,27
0,30,30,random-forest-sensitivity,all,alloy_control,3.743658383446181,3.756520925212153,-0.003435821447503918,-0.20144250202778502,2.769245418000187,0.3469160889397421,110
