entity_id,split,component_id,size_matched_obelix_adjacent_ionic_for_borg_wrong_mechanical_rank,size_matched_borg_wrong_mechanical_for_obelix_adjacent_ionic_rank,coverage_matched_obelix_adjacent_ionic_vs_borg_wrong_mechanical,size_matched_obelix_adjacent_ionic_for_ocx_wrong_catalysis_rank,size_matched_ocx_wrong_catalysis_for_obelix_adjacent_ionic_rank,coverage_matched_obelix_adjacent_ionic_vs_ocx_wrong_catalysis,size_matched_caltech_adjacent_ionic_for_borg_wrong_mechanical_rank,size_matched_borg_wrong_mechanical_for_caltech_adjacent_ionic_rank,coverage_matched_caltech_adjacent_ionic_vs_borg_wrong_mechanical,size_matched_caltech_adjacent_ionic_for_ocx_wrong_catalysis_rank,size_matched_ocx_wrong_catalysis_for_caltech_adjacent_ionic_rank,coverage_matched_caltech_adjacent_ionic_vs_ocx_wrong_catalysis,skill_matched_wrong_rank
starry-d542316f745006bc4a02,development,component-409321e1e07bb4f5,0.4511009050384979,0.1308253410779414,True,0.917128191273808,0.38666756720248546,False,0.8404025395110091,0.11407537484803458,True,0.32453059570444415,0.2475347831960016,False,0.3732946102931244
starry-d543ff4b5c8a4afd9c2b,development,component-4fef417831d4fc71,0.9367148453329731,0.31608807240307984,True,0.6033364852086992,0.03748480345805755,False,0.4104417128191274,0.316763474267189,True,0.5305281642577333,0.0326219100364717,False,0.0233013643117655
starry-d5473e3334029e5f893b,development,component-bd38e21587ed260b,0.44468458732946103,0.052411184654869644,False,0.6147507767121437,0.5011481831689856,False,0.6412265297852222,0.07550992840740241,False,0.6872889369174658,0.4781845197892746,False,0.4683236525732811
starry-d54b01c434cd9731d0b4,evaluation,component-37dbc07d56bb4a18,0.9452924490071593,0.5616641901931649,True,0.44535998919357017,0.9476563555315413,False,0.4506281237336215,0.5589625827367284,False,0.7950830744292854,0.9674456301499392,False,0.949344860191814
starry-d54d057b67ca34676f5e,development,component-dbd522e8abfa7bc3,0.3300013508037282,0.593948399297582,False,0.20194515736863433,0.05281642577333513,False,0.13305416722950156,0.5724706200189112,True,0.1067134945292449,0.08834256382547616,False,0.0817911657436174
starry-d554dd794606e771a6e4,validation,component-f5402560a9633f6b,0.2367283533702553,0.7361204916925571,False,0.19309739294880454,0.3466162366608132,False,0.11285965149263812,0.7378089963528299,True,0.1039443468863974,0.30413345940834796,False,0.4212481426448737
starry-d56bf9e94d38e1b80feb,development,component-4fef417831d4fc71,0.5943536404160475,0.3275699040929353,False,0.890990139132784,0.5368094015939484,False,0.8962582736728353,0.3031203566121842,False,0.7391598000810482,0.5003377009320545,False,0.4198297987302445
starry-d5774884a8ce1852bbcf,development,component-4fef417831d4fc71,0.7556396055653114,0.5038497906254221,True,0.34350938808591114,0.10313386464946643,False,0.33148723490476834,0.4933135215453195,False,0.40416047548291234,0.08239902742131568,False,0.1117790085100634
starry-d57ec1f68aafaec6ce19,development,component-e984af4a9a74e641,0.9106443333783601,0.5409293529650142,False,0.7481426448736999,0.012359854113197353,False,0.6870863163582331,0.6025260029717682,False,0.5938808591111712,0.011954612994731866,False,0.0114142915034445
starry-d58983ed7534a1a18086,evaluation,component-94074fb74428b94d,0.662704309063893,0.3909225989463731,False,0.33472916385249224,0.45400513305416723,False,0.6551398081858706,0.4938538430366068,False,0.22720518708631635,0.408347967040389,False,0.4357692827232203
starry-d592250e089b7ad6c136,validation,component-d2a408fd9f3620db,0.1351479130082399,0.9968931514250979,False,0.121639875726057,0.8447926516277184,False,0.23152775901661488,0.9933810617317304,False,0.7641496690530866,0.8551938403349993,False,0.8323652573281102
starry-d5a206f7b26f4f71ee5d,validation,component-fdbf1d3168ab5eb7,0.04896663514791301,0.06699986491962717,False,0.08800486289342159,0.10468728893691746,False,0.06787788734296907,0.05119546129947319,True,0.07611779008510064,0.075037147102526,False,0.0468053491827637
starry-d5aec63f4e94f1595a86,development,component-4fef417831d4fc71,0.6972173443198704,0.8516142104552209,False,0.5538970687559097,0.7528704579224639,False,0.7397676617587464,0.8462109955423477,False,0.296974199648791,0.7669188166959341,False,0.7025530190463326
starry-d5b365d86feb26630ae1,development,component-d36046d9837d96d2,0.3124409023368904,0.2838038632986627,False,0.33013643117655006,0.1756044846683777,False,0.2246386600027016,0.2643522896123193,False,0.15466702688099418,0.1337295690936107,False,0.1000945562609752
starry-d5b917d9e09153c39822,evaluation,component-ac16a5a68652ce6d,0.07321356206943132,0.23044711603404025,True,0.09198973389166554,0.8687694178035932,False,0.13454005133054167,0.26880994191543967,True,0.12278805889504255,0.8981493988923409,False,0.9088207483452654
starry-d5bb8c9cf4822a4a4443,evaluation,component-d169819c2c68dcb2,0.3033905173578279,0.5052005943536404,False,0.5958395245170877,0.18141294069971634,False,0.5707145751722275,0.48534377954883157,False,0.2534107794137512,0.18587059300283668,False,0.2089693367553694
starry-d5ca63bae2409a565f0d,development,component-06d9bfccaa38f80a,0.5591652032959611,0.6316358233148723,False,0.9242874510333648,0.1826286640551128,False,0.8439146292043767,0.7143050114818317,True,0.16574361745238417,0.16594623801161693,False,0.1972848845062812
starry-d5cd007ec84f507e442c,development,component-e984af4a9a74e641,0.9106443333783601,0.5409293529650142,False,0.7481426448736999,0.012359854113197353,False,0.6870863163582331,0.6025260029717682,False,0.5938808591111712,0.011954612994731866,False,0.0114142915034445
starry-d5cf6d9ccb86dc4a1864,development,component-e984af4a9a74e641,0.8619478589760907,0.32648926111036064,False,0.46751317033635015,0.10401188707280833,False,0.6323112251789815,0.37646899905443737,False,0.24625151965419426,0.10279616371741186,False,0.1160340402539511
starry-d5d7596c7d47ab8cab56,development,component-e0684aba8a358948,0.9464406321761448,0.7060651087397001,True,0.38923409428610023,0.9584627853572876,False,0.5607186275834122,0.6406862082939349,True,0.499189517763069,0.9564365797649601,False,0.9640010806429826
starry-d5da6ad9aae43398bebf,validation,component-1cc303608ed53e22,0.48669458327704984,0.41442658381737135,False,0.777184925030393,0.23078481696609482,False,0.37302444954748076,0.42698905848980145,False,0.28481696609482643,0.2850195866540592,False,0.2594893961907334
starry-d5e857f3542738f90e00,validation,component-d2a408fd9f3620db,0.17141699311090097,0.9803458057544239,False,0.21788464136161015,0.848372281507497,False,0.26246116439281375,0.9681210320140483,False,0.8098068350668648,0.8305416722950155,False,0.8368904498176415
starry-d5f26dd53d54865e5709,validation,component-6df845fd371914f8,0.6788464136161015,0.010536269080102661,False,0.8283803863298663,0.5474807510468729,False,0.8272997433472916,0.0456571660137782,False,0.6529109820343104,0.5251924895312711,False,0.4835201945157368
starry-d602e3a1f016742bff74,development,component-d7d24fb93c4af631,0.9205727407807646,0.24476563555315412,False,0.3363501283263542,0.8857220045927326,False,0.5385654464406322,0.20613264892611102,False,0.40767256517627987,0.8990949615020938,False,0.9112521950560584
starry-d60fb1f68403367d2174,development,component-f167969c789db8f0,0.10320140483587735,0.42888018370930703,False,0.02134269890584898,0.8533702553019046,False,0.03660678103471566,0.33824125354585977,False,0.08874780494394165,0.8052141023909226,False,0.7880588950425503
starry-d6101feb47f501bde51f,development,component-dbd522e8abfa7bc3,0.5484263136566256,0.5751722274753478,False,0.253545859786573,0.0722679994596785,False,0.11779008510063488,0.5771984330676753,True,0.0848304741321086,0.1006348777522626,False,0.1254896663514791
starry-d61bd676a24d8d739828,development,component-0d99c496782ac65d,0.1929623125759827,0.8545859786573011,False,0.4330001350803728,0.17729298932865054,False,0.3266918816695934,0.785965149263812,False,0.1452789409698771,0.2213291908685668,False,0.213224368499257
starry-d621d2374bb8ca3786b5,development,component-4fef417831d4fc71,0.7136296096177226,0.6385924625151965,False,0.9886532486829663,0.1481831689855464,False,0.9120626772929893,0.7295690936106983,True,0.21308928812643524,0.12697555045251924,False,0.1399432662434148
starry-d62bb820d178cb1e472f,validation,component-1cc303608ed53e22,0.5320140483587734,0.5208023774145617,False,0.6177900851006348,0.1360934756179927,False,0.7755639605565311,0.588477644198298,False,0.8595839524517088,0.1562204511684452,False,0.1706740510603809
starry-d62ee12d0eb1be00cac4,development,component-cbd5e03f1b1b9552,0.4787248412805619,0.7299743347291638,True,0.12386870187761718,0.20113467513170336,False,0.15345130352559774,0.5985411319735242,False,0.09469134134810211,0.20153991625016884,False,0.1565581521004998
starry-d63a499df883677407d3,validation,component-d2a408fd9f3620db,0.9698095366743212,0.2566527083614751,False,0.9646089423206808,0.7176144806159666,False,0.964406321761448,0.32270701067134944,False,0.6691206267729299,0.6887072808320951,False,0.7424692692151831
starry-d63fe180ae1e56917d27,validation,component-f48486586c5b742f,0.004187491557476698,0.15804403620153992,True,0.03241928947723896,0.48615426178576254,False,0.0033770093205457248,0.21693907875185736,True,0.018235850330946914,0.5361339997298392,False,0.4908820748345265
starry-d6475858c42e9bd11764,development,component-4fef417831d4fc71,0.7136296096177226,0.6385924625151965,False,0.9886532486829663,0.1481831689855464,False,0.9120626772929893,0.7295690936106983,True,0.21308928812643524,0.12697555045251924,False,0.1399432662434148
starry-d648e8be9f1bb0543e5a,development,component-87143a7a873ce394,0.763811968121032,0.5345805754423882,False,0.4022693502634067,0.9947994056463596,True,0.3676887748210185,0.5097257868431717,False,0.37768472240983386,0.9937863028501959,False,0.9947318654599486
starry-d64e6fb6639b3ecb29ea,development,component-24c4754913081c40,0.21680399837903552,0.25361339997298393,False,0.4684587329461029,0.10522761042820478,False,0.3042685397811698,0.1915439686613535,False,0.24922328785627448,0.1379170606510874,False,0.0991489936512224
