scope,seed,score,initial_source_spearman,source_weight,first_hit_rank,first_hit_fraction,top10_recall_top5,top10_enrichment,score_outcome_spearman,ensemble_spread_absolute_error_spearman,ensemble_spread_outcome_spearman,target_mean_outcome_spearman,mean_absolute_error
hard_ood_40pct,48,target_mean_novelty_rank_fusion,0.12308035940075893,,1.0,0.022727272727272728,0.6666666666666666,5.866666666666666,0.35163573935727793,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
official_test,49,target_mean,0.6595310510487661,,1.0,0.00909090909090909,0.5,5.0,0.3714642092815932,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,ucb_beta_0.25,0.6595310510487661,,1.0,0.00909090909090909,0.5,5.0,0.41681439488758126,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,ucb_beta_0.5,0.6595310510487661,,1.0,0.00909090909090909,0.5,5.0,0.4207792658988866,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,ucb_beta_1,0.6595310510487661,,21.0,0.19090909090909092,0.0,0.0,0.3418742731790188,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,ucb_beta_2,0.6595310510487661,,54.0,0.4909090909090909,0.0,0.0,0.07602042501596587,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,ensemble_spread_only,0.6595310510487661,,26.0,0.23636363636363636,0.0,0.0,-0.32573512815234035,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,composition_novelty_only,0.6595310510487661,,15.0,0.13636363636363635,0.0,0.0,-0.1655262317573294,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,thermoelectric_prior_high,0.6595310510487661,,3.0,0.02727272727272727,0.16666666666666666,1.6666666666666665,0.1305234985252219,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,thermoelectric_prior_low,0.6595310510487661,,78.0,0.7090909090909091,0.0,0.0,-0.1305234985252219,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
official_test,49,equal_positive_rank_fusion,0.6595310510487661,,1.0,0.00909090909090909,0.3333333333333333,3.333333333333333,0.29157619938610424,0.21948630379616438,-0.32573512815234035,0.3714642092815932,2.1679839342337197
