system_id,doi,adsorbent_id,adsorbent_name,adsorbate_id,adsorbate_name,adsorption_unit,uptake_log_fraction,target_uptake,n_temperatures,n_isotherms,temperature_min_K,temperature_max_K,temperature_span_K,temperature_harmonic_K,Qst_kJ_mol,vanthoff_intercept,vanthoff_slope,vanthoff_r2,residual_sd,temperatures_json
e239c5b4fffb9aad6052,10.1021/am404952z,NIST-MATDB-9a934a8b04b9c2df33d72209e684bbfb,Graphite Oxide/Urea Cu-BTC 1 (2nd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.0164926533973193,3,3,277.0,319.0,42.0,296.346553163204,24.51013427868966,10.586582565994561,-2947.891572111453,0.9999342878047547,0.008032627085340522,"[277.0,296.0,319.0]"
84caef3c8ee7c80d3016,10.1021/am404952z,NIST-MATDB-6407ce93af0ea5c0f4f7d4f9e62de8f3,Graphite Oxide/Urea Cu-BTC 1 (3rd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,2.9873015115317703,3,3,277.0,319.0,42.0,296.346553163204,23.59398209211635,10.20293003325145,-2837.703791054738,0.9975128208355784,0.04762886088946861,"[277.0,296.0,319.0]"
dd3fe28783351fbe39be,10.1021/am404952z,NIST-MATDB-988e2344208307996bea9f6ca9fcddad,Graphite Oxide/Urea Cu-BTC 1 (4th cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.1671060904238746,3,3,277.0,319.0,42.0,296.346553163204,24.148820379467132,10.506210756917849,-2904.435498542289,0.9987117688921144,0.035062863871895125,"[277.0,296.0,319.0]"
80bd26231ed444b4d0d4,10.1021/am404952z,NIST-MATDB-f8832e0a2d25bc4ed2110cff585bfeb2,Graphite Oxide/Urea Cu-BTC 2 (1st cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.876272952605377,3,3,277.0,318.0,41.0,296.05825757174324,26.38043261896488,11.100719342341392,-3172.8367581288553,0.9999790233143454,0.004782819785711916,"[277.0,296.0,318.0]"
618993027b808227720d,10.1021/am404952z,NIST-MATDB-985f7140f9aab5b4214090e2d0cfa392,Graphite Oxide/Urea Cu-BTC 2 (2nd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.675318231609339,3,3,277.0,318.0,41.0,296.05825757174324,24.24786624214114,10.225440368794521,-2916.3479777033303,0.9976199457619063,0.0468827962540889,"[277.0,296.0,318.0]"
7f4008d32d4702386464,10.1021/am404952z,NIST-MATDB-bd6851e152ad446b16927f959efe4722,Graphite Oxide/Urea Cu-BTC 2 (3rd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.7520067424379713,3,3,277.0,318.0,41.0,296.05825757174324,25.118531831376323,10.6154980486622,-3021.064978575309,0.9993092837456418,0.026141062905252022,"[277.0,296.0,318.0]"
b1f9dd9c7d33a70e1cce,10.1021/am404952z,NIST-MATDB-6d6c0b4be11df2c1d3b6d42b0b680684,Graphite Oxide/Urea Cu-BTC 2 (4th cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.6318974696155717,3,3,277.0,318.0,41.0,296.05825757174324,25.29838413455958,10.632323782907847,-3042.6962386390173,0.9961370452406793,0.062362305388226145,"[277.0,296.0,318.0]"
d6ebae0d6b69d8e5f3b9,10.1021/am404952z,NIST-MATDB-b549744284aa529c2cb1ec732cedb2fb,Graphite Oxide/Urea Cu-BTC 3 (1st cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,5.366014953762243,3,3,276.0,319.0,43.0,295.9641434866219,24.111239325585064,10.048275391087302,-2899.9155366869054,0.998668720494631,0.03656481650266697,"[276.0,296.0,319.0]"
9aa81f9798c0133b2c51,10.1021/am404952z,NIST-MATDB-345d951effaf38422763255b4393495c,Graphite Oxide/Urea Cu-BTC 3 (2nd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,5.29267424814715,3,3,276.0,319.0,43.0,295.9641434866219,24.311277927406202,10.121877045064235,-2923.9746504273876,0.9988978602101276,0.03354173726640455,"[276.0,296.0,319.0]"
051b28d4de6e31583266,10.1021/am404952z,NIST-MATDB-1ff6de109bbbb406886f1a8bdf86bedb,Graphite Oxide/Urea Cu-BTC 3 (3rd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,5.292502566839245,3,3,276.0,319.0,43.0,295.9641434866219,24.99627317814051,10.392118780173023,-3006.3606424262857,0.9992647206566047,0.028163143798430535,"[276.0,296.0,319.0]"
