edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,analysis_family,edge_role
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,26,year1_to_year2,51,0.09803921568627451,0.1568627450980392,5.0,8.0,0.3333333333333333,0.0,2.833333333333333,0.0,0.0,0.23917810886877566,0.513393665158371,0.5518552036199096,-0.058823529411764705,-0.3333333333333333,-2.833333333333333,-0.23917810886877566,0.03846153846153855,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,26,years1_2_to_year3,20,0.15,0.15,3.0,3.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.42556390977443603,0.44360902255639095,0.0,0.0,0.0,0.0,0.01804511278195492,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,27,year1_to_year2,51,0.0392156862745098,0.058823529411764705,2.0,3.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.6266063348416289,0.6209049773755655,-0.0196078431372549,0.0,0.0,0.0,-0.005701357466063373,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,27,years1_2_to_year3,20,0.3,0.4,6.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.09757556374736609,0.3984962406015037,0.38646616541353385,-0.10000000000000003,0.0,0.0,0.006560488724904001,-0.012030075187969835,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,28,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.5875113122171945,0.5853393665158372,0.0,0.0,0.0,0.0,-0.0021719457013573695,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,28,years1_2_to_year3,20,0.5,0.55,10.0,11.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,-0.015037593984962403,-0.019548872180451125,-0.050000000000000044,0.0,0.0,0.0,-0.004511278195488721,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,29,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.5961990950226244,0.592398190045249,0.0,0.0,0.0,0.0,-0.0038009049773753967,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,29,years1_2_to_year3,20,0.4,0.4,8.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.35037593984962395,0.31127819548872177,0.0,0.0,0.0,0.0,-0.03909774436090219,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,30,year1_to_year2,51,0.11764705882352941,0.09803921568627451,6.0,5.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.13146759071688052,0.4664253393665158,0.47674208144796376,0.0196078431372549,0.0,0.0,-0.13146759071688052,0.01031674208144795,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,30,years1_2_to_year3,20,0.3,0.3,6.0,6.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.5112781954887218,0.42255639097744363,0.0,0.0,0.0,0.0,-0.08872180451127815,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,31,year1_to_year2,51,0.0196078431372549,0.0392156862745098,1.0,2.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.5200904977375564,0.5291402714932126,-0.0196078431372549,0.0,0.0,0.0,0.009049773755656187,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,31,years1_2_to_year3,20,0.45,0.55,9.0,11.0,0.0,0.0,0.0,0.0,0.15917615888665626,0.15917615888665626,0.08421052631578946,0.08571428571428572,-0.10000000000000003,0.0,0.0,0.0,0.0015037593984962572,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,32,year1_to_year2,51,0.11764705882352941,0.11764705882352941,6.0,6.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.14144796380090496,0.25104072398190047,0.0,0.0,0.0,0.0,0.10959276018099551,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,32,years1_2_to_year3,20,0.4,0.4,8.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.11275047863960497,0.4090225563909774,0.3203007518796992,0.0,0.0,0.0,-0.008614426167334877,-0.0887218045112782,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,33,year1_to_year2,51,0.09803921568627451,0.09803921568627451,5.0,5.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.4205429864253394,0.43113122171945695,0.0,0.0,0.0,0.0,0.010588235294117565,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,33,years1_2_to_year3,20,0.3,0.35,6.0,7.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.4812030075187969,0.4872180451127819,-0.04999999999999999,0.0,0.0,0.0,0.006015037593984973,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,34,year1_to_year2,51,0.09803921568627451,0.09803921568627451,5.0,5.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.46660633484162894,0.4957466063348416,0.0,0.0,0.0,0.0,0.029140271493212633,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,34,years1_2_to_year3,20,0.2,0.25,4.0,5.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.5909774436090225,0.5458646616541353,-0.04999999999999999,0.0,0.0,0.0,-0.045112781954887216,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,35,year1_to_year2,51,0.2549019607843137,0.21568627450980393,13.0,11.0,0.0,0.0,0.0,0.0,0.21538535508798606,0.21538535508798606,0.38334841628959276,0.4236199095022624,0.039215686274509776,0.0,0.0,0.0,0.04027149321266965,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,35,years1_2_to_year3,20,0.25,0.35,5.0,7.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.10413605247227009,0.4300751879699248,0.3533834586466165,-0.09999999999999998,0.0,0.0,-0.006560488724904001,-0.07669172932330826,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,36,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.5802714932126697,0.5803619909502262,0.0,0.0,0.0,0.0,9.049773755653856e-05,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,36,years1_2_to_year3,20,0.45,0.45,9.0,9.0,0.0,0.0,0.0,0.0,0.08291303060594002,0.08291303060594002,0.38195488721804516,0.3789473684210526,0.0,0.0,0.0,0.0,-0.00300751879699257,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,37,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.5664253393665158,0.5731221719457014,0.0,0.0,0.0,0.0,0.006696832579185519,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,37,years1_2_to_year3,20,0.45,0.45,9.0,9.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.4030075187969925,0.3924812030075188,0.0,0.0,0.0,0.0,-0.010526315789473661,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,38,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.48470588235294115,0.48506787330316736,0.0,0.0,0.0,0.0,0.00036199095022620975,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,38,years1_2_to_year3,20,0.4,0.45,8.0,9.0,0.0,0.0,0.0,0.0,0.15917615888665626,0.15917615888665626,0.4060150375939849,0.3639097744360902,-0.04999999999999999,0.0,0.0,0.0,-0.0421052631578947,primary,named-edge
