composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.14285714|In:0.14285714|S:0.57142857|Sn:0.14285714,1.89,1.89,1.89,1,2,Ag-In-S-Sn,AgInSnS4,0.0
Ag:0.14285714|O:0.57142857|Sn:0.28571429,3.91,3.91,3.91,1,1,Ag-O-Sn,SnO2 / Ag / SnO2,0.0
Ag:0.15384615|Cr:0.15384615|O:0.61538462|Sn:0.07692308,3.06,3.06,3.06,1,1,Ag-Cr-O-Sn,Ag2O3·Cr2O3·SnO2,0.0
Ag:0.16666667|Bi:0.16666667|Br:0.33333333|Cl:0.16666667|O:0.16666667,3.28,3.28,3.28,1,1,Ag-Bi-Br-Cl-O,AgBr / BiOCl1−xBrx,0.0
Ag:0.16666667|Bi:0.16666667|I:0.66666667,1.745,1.6875,1.8025,2,2,Ag-Bi-I,AgBiI4,0.11499999999999999
Ag:0.16666667|Bi:0.16666667|O:0.50000000|S:0.08333333|W:0.08333333,2.68,2.68,2.68,1,1,Ag-Bi-O-S-W,Bi2WO6 / Ag2S,0.0
Ag:0.16666667|Bi:0.16666667|O:0.50000000|Sb:0.16666667,2.0,2.0,2.0,1,1,Ag-Bi-O-Sb,pyrochlore AgSb1−xBixO3,0.0
Ag:0.16666667|Bi:0.16666667|Pb:0.16666667|Se:0.50000000,0.46,0.46,0.46,1,1,Ag-Bi-Pb-Se,AgPbBiSe3,0.0
Ag:0.16666667|Ce:0.16666667|H:0.16666667|O:0.33333333|P:0.16666667,3.03,3.03,3.03,1,1,Ag-Ce-H-O-P,Ag / CeO2-HP,0.0
Ag:0.16666667|Ce:0.16666667|O:0.33333333|P:0.16666667|S:0.16666667,2.75,2.75,2.75,1,1,Ag-Ce-O-P-S,Ag / CeO2-SP,0.0
Ag:0.16666667|O:0.66666667|S:0.16666667,0.9099999999999999,0.9099999999999999,0.9099999999999999,1,2,Ag-O-S,AgSO4,0.0
Ag:0.16666667|O:0.66666667|Ti:0.16666667,2.4,2.4,2.4,1,1,Ag-O-Ti,AgO2 / TiO2,0.0
Ag:0.17647059|In:0.29411765|Se:0.52941176,1.22,1.22,1.22,1,1,Ag-In-Se,Ag3In5Se9,0.0
Ag:0.17825312|In:0.15508021|S:0.66666667,1.98,1.98,1.98,1,1,Ag-In-S,Ag1.00In0.87S1.94(S1.80),0.0
Ag:0.18181818|B:0.18181818|O:0.54545455|Ti:0.09090909,2.0,2.0,2.0,1,1,Ag-B-O-Ti,Ag2O / B2O3 / TiO2,0.0
Ag:0.18181818|Mo:0.18181818|O:0.63636364,2.7424999999999997,2.71375,2.7712499999999998,2,3,Ag-Mo-O,Ag2Mo2O7,0.05749999999999966
Ag:0.18181818|O:0.63636364|S:0.18181818,2.24,2.24,2.24,1,1,Ag-O-S,Ag2S2O7,0.0
Ag:0.18750000|N:0.31250000|O:0.25000000|P:0.06250000|Ta:0.18750000,2.08,2.08,2.08,1,1,Ag-N-O-P-Ta,Ag3PO4 / Ta3N5,0.0
Ag:0.20000000|Bi:0.20000000|Cl:0.40000000|S:0.20000000,1.0,1.0,1.0,1,1,Ag-Bi-Cl-S,AgBiSCl2,0.0
Ag:0.20000000|Bi:0.20000000|O:0.60000000,0.8,0.8,0.8,2,2,Ag-Bi-O,AgBiO3,0.0
