draw,model,anchor_indices,evaluation_formulations,pairwise_concordance,eligible_pairs
84,calisol_rank_score,"[8, 11, 14]",16,0.55,100
84,target_extra_trees,"[8, 11, 14]",16,0.77,100
84,target_hist_gradient_boosting,"[8, 11, 14]",16,,0
84,target_linear,"[8, 11, 14]",16,0.65,100
85,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
85,target_extra_trees,"[8, 13, 17]",16,0.75,104
85,target_hist_gradient_boosting,"[8, 13, 17]",16,,0
85,target_linear,"[8, 13, 17]",16,0.7019230769230769,104
86,calisol_rank_score,"[8, 9, 13]",16,0.5454545454545454,99
86,target_extra_trees,"[8, 9, 13]",16,0.75,100
86,target_hist_gradient_boosting,"[8, 9, 13]",16,,0
86,target_linear,"[8, 9, 13]",16,0.66,100
87,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
87,target_extra_trees,"[8, 13, 17]",16,0.75,104
87,target_hist_gradient_boosting,"[8, 13, 17]",16,,0
87,target_linear,"[8, 13, 17]",16,0.7019230769230769,104
88,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
88,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
88,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
88,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
89,calisol_rank_score,"[1, 11, 13]",16,0.5979381443298969,97
89,target_extra_trees,"[1, 11, 13]",16,0.8041237113402062,97
89,target_hist_gradient_boosting,"[1, 11, 13]",16,,0
89,target_linear,"[1, 11, 13]",16,0.5463917525773195,97
90,calisol_rank_score,"[8, 13, 15]",16,0.5825242718446602,103
90,target_extra_trees,"[8, 13, 15]",16,0.5865384615384616,104
90,target_hist_gradient_boosting,"[8, 13, 15]",16,,0
90,target_linear,"[8, 13, 15]",16,0.6442307692307693,104
91,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
91,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
91,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
91,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
92,calisol_rank_score,"[1, 11, 13]",16,0.5979381443298969,97
92,target_extra_trees,"[1, 11, 13]",16,0.8041237113402062,97
92,target_hist_gradient_boosting,"[1, 11, 13]",16,,0
92,target_linear,"[1, 11, 13]",16,0.5463917525773195,97
93,calisol_rank_score,"[8, 11, 14]",16,0.55,100
93,target_extra_trees,"[8, 11, 14]",16,0.77,100
93,target_hist_gradient_boosting,"[8, 11, 14]",16,,0
93,target_linear,"[8, 11, 14]",16,0.65,100
94,calisol_rank_score,"[5, 8, 13]",16,0.5533980582524272,103
94,target_extra_trees,"[5, 8, 13]",16,0.375,104
94,target_hist_gradient_boosting,"[5, 8, 13]",16,,0
94,target_linear,"[5, 8, 13]",16,0.46153846153846156,104
95,calisol_rank_score,"[8, 11, 13]",16,0.55,100
95,target_extra_trees,"[8, 11, 13]",16,0.74,100
95,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
95,target_linear,"[8, 11, 13]",16,0.66,100
96,calisol_rank_score,"[8, 12, 13]",16,0.5353535353535354,99
96,target_extra_trees,"[8, 12, 13]",16,0.7676767676767676,99
96,target_hist_gradient_boosting,"[8, 12, 13]",16,,0
96,target_linear,"[8, 12, 13]",16,0.65,100
97,calisol_rank_score,"[6, 13, 18]",16,0.5981308411214953,107
97,target_extra_trees,"[6, 13, 18]",16,0.5833333333333334,108
97,target_hist_gradient_boosting,"[6, 13, 18]",16,,0
97,target_linear,"[6, 13, 18]",16,0.7037037037037037,108
98,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
98,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
98,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
98,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
99,calisol_rank_score,"[6, 13, 18]",16,0.5981308411214953,107
99,target_extra_trees,"[6, 13, 18]",16,0.5833333333333334,108
99,target_hist_gradient_boosting,"[6, 13, 18]",16,,0
99,target_linear,"[6, 13, 18]",16,0.7037037037037037,108
