sample_key,material_key,material_raw,source_reference,n_temperature,temperature_min_K,temperature_max_K,temperature_harmonic_K,Ea_eV,lnA,arrhenius_r2,family
Ca:0.5384615385|Mg:0.03846153846|Sb:0.4230769231@@10.1021/cm504059t,Ca:0.5384615385|Mg:0.03846153846|Sb:0.4230769231,Ca14MgSb11,10.1021/cm504059t,8,400.0,1083.0,673.4170984000496,0.05168742717887533,9.492202888859271,0.9160459167675434,Ca-Sb
Ca:0.5|Ga:0.05|Sb:0.45@@https://doi.org/10.1021/acs.chemmater.0c04940,Ca:0.5|Ga:0.05|Sb:0.45,Ca10GaSb9,https://doi.org/10.1021/acs.chemmater.0c04940,4,398.0,673.0,509.04752318918247,0.10670120346296158,8.398950778087084,0.9966530833098541,Ca-Sb
Ca:0.5|In:0.05|Sb:0.45@@https://doi.org/10.1021/acs.chemmater.0c04940,Ca:0.5|In:0.05|Sb:0.45,Ca10InSb9,https://doi.org/10.1021/acs.chemmater.0c04940,4,398.0,772.0,568.2637966310406,0.04738106121982305,9.10240811982194,0.9876190223308222,Ca-Sb
Cl:0.005730659026|In:0.5730659026|Pb:0.001432664756|Se:0.4154727794|Sn:0.004297994269@@10.1039/c4dt03432e,Cl:0.005730659026|In:0.5730659026|Pb:0.001432664756|Se:0.4154727794|Sn:0.004297994269,In4Pb0.01Sn0.03Se2.9Cl0.04,10.1039/c4dt03432e,4,323.0,723.0,528.3930950173784,0.039174080101085924,10.224536989211673,0.9850966710454885,In-Se
Cl:0.008571428571|In:0.5714285714|Pb:0.001428571429|Se:0.4142857143|Sn:0.004285714286@@10.1039/c4dt03432e,Cl:0.008571428571|In:0.5714285714|Pb:0.001428571429|Se:0.4142857143|Sn:0.004285714286,In4Pb0.01Sn0.03Se2.9Cl0.06,10.1039/c4dt03432e,9,323.0,723.0,489.4878548866458,0.07035777496695708,10.545084774801493,0.9605160014005679,In-Se
Co:0.2073170732|Li:0.2682926829|Ni:0.03658536585|O:0.487804878@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.2073170732|Li:0.2682926829|Ni:0.03658536585|O:0.487804878,Li1.1Co0.85Ni0.15O2,https://doi.org/10.1021/acs.inorgchem.7b00476,8,323.0,1023.0,586.6669448613994,0.30009453005081,9.619732380362295,0.9404852280891781,Co-Li-O
Co:0.2103960396|Li:0.2574257426|Ni:0.03712871287|O:0.495049505@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.2103960396|Li:0.2574257426|Ni:0.03712871287|O:0.495049505,Li1.04Co0.85Ni0.15O2,https://doi.org/10.1021/acs.inorgchem.7b00476,8,323.0,1023.0,586.6669448613994,0.3498213092990108,9.35521059992917,0.9588927681235144,Co-Li-O
Co:0.2119700748|Li:0.2518703242|Ni:0.03740648379|O:0.4987531172@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.2119700748|Li:0.2518703242|Ni:0.03740648379|O:0.4987531172,Li1.01Co0.85Ni0.15O2,https://doi.org/10.1021/acs.inorgchem.7b00476,8,323.0,1023.0,586.6669448613994,0.37377695201278666,9.41595801527087,0.9701775888829344,Co-Li-O
Co:0.2125|Li:0.25|Ni:0.0375|O:0.5@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.2125|Li:0.25|Ni:0.0375|O:0.5,LiCo0.85Ni0.15O2,https://doi.org/10.1021/acs.inorgchem.7b00476,8,323.0,1023.0,586.6669448613994,0.39363861217679874,9.778662781024632,0.9610045603375228,Co-Li-O
Co:0.23|Li:0.25|Ni:0.02|O:0.5@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.23|Li:0.25|Ni:0.02|O:0.5,LiCo0.92Ni0.08O2,https://doi.org/10.1021/acs.inorgchem.7b00476,7,423.0,1023.0,664.1125569513882,0.5888857233452474,10.963404424352474,0.988434087137133,Co-Li-O
Co:0.245|Li:0.25|Ni:0.005|O:0.5@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.245|Li:0.25|Ni:0.005|O:0.5,LiCo0.98Ni0.02O2,https://doi.org/10.1021/acs.inorgchem.7b00476,8,323.0,1023.0,586.6669448613994,0.5439264059213292,10.523319631476554,0.9236083849296527,Co-Li-O
Co:0.24|Li:0.25|Ni:0.01|O:0.5@@https://doi.org/10.1021/acs.inorgchem.7b00476,Co:0.24|Li:0.25|Ni:0.01|O:0.5,LiCo0.96Ni0.04O2,https://doi.org/10.1021/acs.inorgchem.7b00476,8,323.0,1023.0,586.6669448613994,0.5178781737109127,9.86415039395045,0.9737557304303677,Co-Li-O
